Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Continent
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863449.0,2069870130.0,1272835453.0,1201312829.0,1315158637.0,1468317435.0,1596968946.0,1639492445.0,1893726437.0,1845482173.0,1911563669.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469511.0,6384452067.0,9206301270.0,11662040714.0,8647937081.0,9260285756.0,10142111825.0,10619320683.0,11121464437.0,11609513247.0,10553337518.0,10546136236.0,11527458709.0,12457940695.0,13619290539.0,12641698583.0,13878908629.0,19513506553.0,24185982216.0,25955275380.0,Asia
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,,,Oceania
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77507407.41,88040740.74,109596296.3,132451851.9,149388888.9,166444444.4,184866666.7,212214814.8,246370370.4,297562963.0,346866666.7,411396296.3,455174074.1,478718518.5,504337037.0,525133333.3,565662963.0,625081481.5,616051851.9,679140740.7,734422222.2,789788888.9,835544444.4,901003703.7,877774074.1,898092592.6,948100000.0,1026329630.0,1143896296.0,1303674074.0,1487381481.0,1557640741.0,1386518519.0,1298348148.0,1287359259.0,1364729630.0,1325496296.0,1378707407.0,1437485185.0,1489603704.0,1534855556.0,1661529630.0,1726448148.0,1411637037.0,1602125926.0,1866566667.0,2005785185.0,2207622874.0,North America
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18635682982.0,19713123154.0,19953923193.0,21573443452.0,23835843814.0,26014244162.0,27349284376.0,30487524878.0,32763365242.0,36738245878.0,41395206623.0,45283847245.0,52117990654.0,63923126201.0,89086219602.0,97440939506.0,105209354856.0,110504702914.0,118660813780.0,135093718051.0,150200557103.0,177151979566.0,194323071831.0,177523719680.0,193749932078.0,180861108959.0,182707050923.0,189726707253.0,236461079970.0,300264309002.0,311840666465.0,326416407861.0,325982966981.0,312568858910.0,323269456935.0,368725126225.0,401962517479.0,436321902767.0,400361527505.0,390347787943.0,416901962163.0,380360222861.0,396436967263.0,468517181130.0,615643050221.0,696811489613.0,749708370333.0,856603595823.0,1058448244064.0,931761689771.0,1152566632022.0,1402939868653.0,1552728401402.0,1583737461925.0,1474677007566.0,1356805839936.0,1211588128418.0,1330890554614.0,1433144978762.0,1398349602956.0,1333336461648.0,1560617493203.0,1695627535476.0,1734451264656.0,1757022451653.0,Oceania
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6624086313.0,7346566038.0,7793042529.0,8414050621.0,9213648656.0,10041659445.0,10939526219.0,11634569522.0,12499863917.0,13647475854.0,15312791744.0,17788536733.0,21973207929.0,29399860145.0,35051468640.0,39902300703.0,42791707448.0,51343861460.0,61809208756.0,73647694287.0,81737498405.0,70755997062.0,70996111963.0,71838528420.0,67719055773.0,69114996010.0,98648254169.0,123682091859.0,132817124707.0,132584448258.0,165811372383.0,173113449617.0,194314032056.0,189634029339.0,202738023130.0,240094169510.0,235952581232.0,211724812267.0,217068085816.0,216421809126.0,196181599831.0,196477206829.0,212837224023.0,260779834340.0,299210411455.0,313952317331.0,333905979332.0,386760177589.0,429234399096.0,399290118782.0,389827789218.0,428954737064.0,406750487604.0,426580502769.0,438556021078.0,379546097301.0,393687359770.0,414926138133.0,452582294973.0,442983642372.0,434397601558.0,480466363177.0,473221298968.0,516670509629.0,534790720467.0,Europe
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848485.0,5344000000.0,444658671.6,1570392598.0,1193141110.0,2417331193.0,3176507376.0,3962362387.0,4446368571.0,4581248567.0,5272615723.0,5707616204.0,6236087738.0,7276413079.0,8680405741.0,13245421881.0,20981929498.0,33049419431.0,48851293785.0,44292427185.0,52909294792.0,65952796428.0,69679944504.0,74160560124.0,75239785452.0,53076235355.0,37866996883.0,40866627352.0,47112470052.0,48174235294.0,42693000000.0,54825411765.0,78807470588.0,72428470588.0,74315882353.0,Asia
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994963.0,165444571.4,178297142.9,183200000.0,190205714.3,242732571.4,252842285.7,246804571.4,304339523.9,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222.0,1082926304.0,987143931.2,1149979286.0,1201725497.0,1131466494.0,1082403219.0,1113924130.0,1132101253.0,1167398478.0,1083037671.0,938632612.0,925030590.2,1000428394.0,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080.0,1273375078.0,1356199387.0,1611835857.0,1775495032.0,2032135192.0,2235812880.0,2327402363.0,2451624638.0,2705826648.0,2810532912.0,2618093125.0,2831362208.0,2913411408.0,2871555326.0,3227847281.0,3435598073.0,4036192553.0,3430949250.0,3082433067.0,Africa
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11810619368.0,12561701694.0,13436827167.0,14445805381.0,16168044450.0,17597783297.0,18894891312.0,20252508995.0,21654856965.0,24019653475.0,26706196047.0,29821661870.0,37209418019.0,47743801490.0,56033077879.0,65678189097.0,71113882968.0,82839905459.0,101246526194.0,116315456797.0,126829314388.0,104730018470.0,92095926188.0,87184239053.0,83349530159.0,86268264148.0,120018787249.0,149394404106.0,162299103675.0,164221056511.0,205331747948.0,210510999409.0,234781652447.0,224721795709.0,244884129491.0,288025588396.0,279201433225.0,252708051421.0,258528339631.0,258245733221.0,236792460312.0,236746141604.0,258383599375.0,318082528507.0,369214712443.0,385714762230.0,408259840869.0,470922156309.0,517328087920.0,485014525992.0,481556503720.0,527196649049.0,498414364945.0,524097026599.0,537987419164.0,461044767545.0,474271566740.0,500908767352.0,542638913428.0,536726344405.0,529694473502.0,598522422242.0,591085783326.0,651330595110.0,671370081636.0,Europe
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.4,235668220.5,236434954.0,253927697.3,269819005.9,289908680.4,302925235.2,306221953.1,326323105.3,330748244.5,333627713.5,335073027.5,410331857.0,504376074.2,554654860.7,676870140.3,698408261.9,750049778.8,928843469.4,1186231020.0,1405251847.0,1291120188.0,1267778670.0,1095348199.0,1051134009.0,1045712789.0,1336102025.0,1562412228.0,1620246084.0,1502294416.0,1959965330.0,1986437797.0,1695315306.0,2274558083.0,1598075944.0,2169627138.0,2361116449.0,2268301646.0,2455092686.0,3677393999.0,3519991440.0,3666222635.0,4194342686.0,5349258094.0,6190270380.0,6567654954.0,7034111315.0,8169048383.0,9787734526.0,9738626517.0,9535345016.0,10693321364.0,11141358116.0,12517845124.0,13284527847.0,11388160997.0,11821065853.0,12701655837.0,14262408090.0,14391686313.0,15686741884.0,17687623530.0,17425405091.0,19673291004.0,21482643706.0,Africa
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.8,350247234.3,379567099.2,394040667.1,410321645.0,422916789.7,433889766.2,450753923.5,460442689.4,478298645.4,458404268.8,482411179.1,578595522.0,674773569.9,751133430.4,939972703.5,976547188.1,1131224878.0,1475583645.0,1748480621.0,1928719888.0,1775842334.0,1754450096.0,1600278605.0,1459880132.0,1552493196.0,2036303358.0,2369834950.0,2616040479.0,2615587734.0,3101300779.0,3135045584.0,3356692505.0,3199536465.0,1895290637.0,2379517975.0,2586550595.0,2447669102.0,2804902367.0,3389566713.0,2968370088.0,3190371081.0,3622350063.0,4740768143.0,5451688538.0,6146353173.0,6547419820.0,7625722837.0,9451435490.0,9450696873.0,10109619741.0,12080295978.0,12561015157.0,13444300486.0,13943016077.0,11832159316.0,12833363045.0,14106955615.0,15890066221.0,16032813503.0,17725010533.0,19697516284.0,18622421395.0,20112614449.0,23124729853.0,Africa
